timestamp,low,high,open,close,volume,vwap,turnover,homeNotional,foreignNotional,trades
2023-10-01 00:00:00+00:00,26955.88,26969.35,26961.0,26969.35,8.20871235,26962.614999999998,221328.35073879524,8.20871235,221328.35073879524,
2023-10-01 00:05:00+00:00,26969.34,26976.81,26969.34,26975.88,12.63354573,26973.075,340765.57649121975,12.63354573,340765.57649121975,
2023-10-01 00:10:00+00:00,26975.88,26986.42,26975.89,26979.37,14.74366443,26981.15,397801.02153549454,14.74366443,397801.02153549454,
2023-10-01 00:15:00+00:00,26977.68,26985.22,26979.37,26981.38,11.9709529,26981.45,322993.66712370503,11.9709529,322993.66712370503,
2023-10-01 00:20:00+00:00,26964.94,26981.38,26981.38,26973.82,13.10397481,26973.16,353455.6091860996,13.10397481,353455.6091860996,
2023-10-01 00:25:00+00:00,26972.13,26978.44,26973.82,26975.11,6.55565817,26975.285,176840.74749832845,6.55565817,176840.74749832845,
2023-10-01 00:30:00+00:00,26955.25,26978.33,26975.11,26977.23,16.55648471,26966.79,446475.2463127809,16.55648471,446475.2463127809,
2023-10-01 00:35:00+00:00,26971.52,26980.42,26977.23,26977.74,4.4499001,26975.97,120040.371600597,4.4499001,120040.371600597,
2023-10-01 00:40:00+00:00,26977.37,27003.35,26978.1,26995.01,10.41555119,26990.36,281119.4762165284,10.41555119,281119.4762165284,
2023-10-01 00:45:00+00:00,26983.87,26995.01,26995.01,26983.88,4.73248685,26989.44,127727.169888864,4.73248685,127727.169888864,
2023-10-01 00:50:00+00:00,26983.87,26996.33,26983.87,26994.66,5.01411154,26990.1,135331.371875754,5.01411154,135331.371875754,
2023-10-01 00:55:00+00:00,26994.65,26997.15,26994.65,26997.09,3.10066151,26995.9,83705.14805780901,3.10066151,83705.14805780901,
2023-10-01 01:00:00+00:00,26997.09,27007.48,26997.1,26998.95,10.73010177,27002.285,289737.26607254444,10.73010177,289737.26607254444,
2023-10-01 01:05:00+00:00,26981.17,26998.95,26998.94,26981.17,10.45466097,26990.059999999998,282171.9268599582,10.45466097,282171.9268599582,
2023-10-01 01:10:00+00:00,26981.66,27000.23,26981.67,26996.66,76.55962798,26990.945,2066416.708028641,76.55962798,2066416.708028641,
2023-10-01 01:15:00+00:00,26982.98,26996.3,26996.29,26989.78,13.51530995,26989.64,364773.350038918,13.51530995,364773.350038918,
2023-10-01 01:20:00+00:00,26985.76,27005.07,26989.91,27004.66,5.48838551,26995.415,148161.24452243664,5.48838551,148161.24452243664,
2023-10-01 01:25:00+00:00,27004.65,27044.13,27004.66,27021.72,30.5649564,27024.39,825999.302086596,30.5649564,825999.302086596,
2023-10-01 01:30:00+00:00,27012.51,27026.5,27021.71,27022.27,8.47755641,27019.504999999997,229059.37780777703,8.47755641,229059.37780777703,
2023-10-01 01:35:00+00:00,27014.22,27023.47,27022.26,27020.04,5.8669782,27018.845,158518.974604179,5.8669782,158518.974604179,
2023-10-01 01:40:00+00:00,27011.86,27027.56,27020.04,27018.78,8.58909974,27019.71,232074.9841358754,8.58909974,232074.9841358754,
2023-10-01 01:45:00+00:00,27014.81,27020.41,27018.79,27018.6,5.92267208,27017.61,160016.4444153288,5.92267208,160016.4444153288,
2023-10-01 01:50:00+00:00,27018.59,27035.0,27018.6,27027.72,9.60954113,27026.795,259715.09816457835,9.60954113,259715.09816457835,
2023-10-01 01:55:00+00:00,27020.37,27034.38,27027.72,27022.02,7.25908408,27027.375,196193.98758669,7.25908408,196193.98758669,
2023-10-01 02:00:00+00:00,27020.17,27037.41,27022.25,27034.85,7.53080258,27028.79,203548.4814662782,7.53080258,203548.4814662782,
2023-10-01 02:05:00+00:00,27032.38,27048.0,27034.85,27039.94,12.67526769,27040.190000000002,342741.64663846116,12.67526769,342741.64663846116,
2023-10-01 02:10:00+00:00,27029.84,27041.93,27039.94,27030.51,7.8768645,27035.885000000002,212958.0027825825,7.8768645,212958.0027825825,
2023-10-01 02:15:00+00:00,27031.11,27046.86,27031.11,27045.26,5.37570579,27038.985,145353.62822022315,5.37570579,145353.62822022315,
2023-10-01 02:20:00+00:00,27042.87,27050.83,27045.26,27050.02,11.65905975,27046.85,315340.8401992875,11.65905975,315340.8401992875,
2023-10-01 02:25:00+00:00,27041.55,27052.79,27050.01,27042.75,8.96929429,27047.17,242594.0274416593,8.96929429,242594.0274416593,
2023-10-01 02:30:00+00:00,27023.81,27043.21,27042.75,27025.64,9.39923515,27033.510000000002,254094.31741987655,9.39923515,254094.31741987655,
2023-10-01 02:35:00+00:00,27018.79,27031.91,27025.68,27031.03,15.07795001,27025.35,407486.87630275346,15.07795001,407486.87630275346,
2023-10-01 02:40:00+00:00,27023.89,27031.03,27031.03,27029.91,3.57715848,27027.46,96681.5077318608,3.57715848,96681.5077318608,
2023-10-01 02:45:00+00:00,27029.91,27045.24,27029.92,27043.86,12.23404988,27037.575,330779.041184241,12.23404988,330779.041184241,
2023-10-01 02:50:00+00:00,27027.67,27044.08,27043.16,27028.58,4.8141373,27035.875,130154.4142756375,4.8141373,130154.4142756375,
2023-10-01 02:55:00+00:00,27027.26,27032.01,27028.58,27031.96,4.37377791,27029.635,118221.62047836285,4.37377791,118221.62047836285,
2023-10-01 03:00:00+00:00,27023.85,27034.76,27031.97,27026.69,7.11691854,27029.305,192365.36187781472,7.11691854,192365.36187781472,
